category,name,imgUrl,kcal,carbo,protein,fat,sFat,tFat,sugar,choles,natrium,ingredi
소세지,맛있닭 닭가슴살소시지 훈제,https://file.rankingdak.com/_data/item/1421823810_l1.jpg,135,3,23,4,0.7,0,2,65,250,"닭고기(가슴살 국내산 79.52 %, 대두유{대두유(외국산 아르헨티나, 미국, 브라질 등), d-토코페놀 (혼합형), 규소수지}, 전란액(계란 100 %/국내산), 알콘에스비, 복합시즈닝SD, 복합믹스-J, 함수 포도당, 비프젤라틴, 산도조절제, 육풍미시즈닝, 기타소금, 비타민C, 스모크오일[히코리스모크오일RS(미국산/대두유, 스모크 향), 대두유(대두, 규소수지)] 007%, 생강분말, 콜라겐케이싱"
소세지,맛있닭 닭가슴살소시지 할라피뇨,https://file.rankingdak.com/_data/item/1479965640_l1.jpg,130,3,20,4.1,0.9,0,1,55,250,"닭고기(가슴살/국내산) 72.3 %, 슬라이스 할라피뇨 피클[할라피뇨 고추 60 %, 식초, 정제소금, 향신료(후추, 월계수, 오레가노)](멕시코산) 8.25 %, 전란액(계란 100%/국내산), 대두유, 알콘에스비, 복합시즈닝SD, 복합믹스-J, 함수포도당, 비프젤라틴, 산도조절제, 육풍미시즈닝, 기타소금, 청양초맛 분말, 비타민C, 생강분말, 콜라겐케이싱"
소세지,맛있닭 닭가슴살소시지 현미,https://file.rankingdak.com/_data/item/1421825042_l1.jpg,145,6,20,4.5,0.9,0,1,85,200,"닭고기(가슴살/국내산) 76.18 %, 전란액(계란 100 %/국내산), 대두유{대두유(외국산:아르헨티나, 미국, 브라질 등), d-토코페놀(혼합형), 규소수지}, 현미가루(현미100%/국내산) 3.95 %, 알콘에스비, 복합시즈닝SD, 복합믹스-J, 함수포도 당, 비프젤라틴, 산도조절제, 육풍미시즈닝, 기타소금, 비타민C, 생강분말, 파슬리분태, 콜라겐케이싱"
소세지,맛있닭 닭가슴살소시지 견과,https://file.rankingdak.com/_data/item/1479966049_l1.jpg,150,5,21,5,1,0,1,55,210,"닭고기(가슴살/국내산) 75.06 %, 전란액(계란 100% 국내산), 대두유{대두유(외국산 아르헨티나, 미국, 브라질 등) d-토코페놀(혼합형), 규소수지}, 알콘에스비, 복합시즈닝SD, 황토가마에 구운 해바라기씨(미국산) 1.33 %, 황토가마에 구운 호두(미국산) 1.33 % 황토가마에 구운 아몬드(미국산) 1.33 %, 복합믹스-J, 함수포도당, 비프젤라틴, 산도조절제, 육풍미시즈닝, 기타 소금, 비타민C 생강분말, 콜라겐케이싱"
소세지,더프레시 오징어 비엔나 닭가슴살 소시지,https://file.rankingdak.com/_data/item/a87fa5c44ed1bf05f99749659eb61443.jpg,125.25,8.02,18.37,2,0.67,0,2.34,67.47,166.33,"닭가슴살(국내산)73.3%,양파(국내산), 오징어 (연근해산)3.5%, 함수포도당,탈지대두, 농축대두단백,유장분말, 건빵가루 HS솔루션시즈닝, 새우조미시즈닝-1, 콜라겐케이싱,미담다시마장,카라기난, 폴리인산나트륨(산도조절제),흑후추 분말,코트롤티에이치(산도조절제)"
소세지,더프레시 새우 비엔나 닭가슴살 소시지,https://file.rankingdak.com/_data/item/3cde8a22d33ed5be6661c00b2e6c2a33.jpg,131.26,4.68,18.7,4.01,1.34,0,2.67,61.46,182.36,"닭가슴살(국내산)73.2%,양파(국내산),유장분말(우유:외국산),새우(베트남산)1.2%,함수포도당, 당근,농축대두단백,건빵가루,탈지대두, 새우조미시즈닝-1,콜라겐케이싱, 청양고추,미담다시마장, 새우엑기스-디,폴리인산나트륨(산도조절제),정제소금, 켑사이신분말, 코트볼티에이치(산도조절제)"
소세지,베스틱 닭가슴살 소시지 훈제맛,https://file.rankingdak.com/_data/item/1463995788_l1.jpg,114.63,0.18,24.99,1.55,0.53,0.01,0,57.77,309.6,"닭가슴살 (국내산) 91.8%, 타피오카전분(베트남), 미트텐더용 파우더 MT [유당(우유:미국산), 정제소금(국내산)], 후랑크 파우터 MT, 콜라겐케이싱"
소세지,베스틱 닭가슴살 소시지 마늘맛,https://file.rankingdak.com/_data/item/1463996266_l1.jpg,110.58,0.55,23.18,1.74,0.61,0.01,0.43,46.07,252.4,"닭가슴살 (국내산) 89.5%, 후랑크베이스파우더MT-2 [백후추분말 (베트남), 생강분말(중국산), 겨자분말(미국), 타피오카전분(베트남), 마늘(국내산) 25%, 미트텐터용파우더MT, 콜라겐케이싱, 닭고기, 우유"
소세지,베스틱 닭가슴살 소시지 고추맛,https://file.rankingdak.com/_data/item/1463996472_l1.jpg,109.21,0.58,23.55,1.41,0.5,0.01,0.56,44.48,271.85,"닭가슴살(국내산) 88.41%, 청양고추(국내산) 3.86%, 후랑크베이스 파우더MT-1 [캐러웨이분말 (이집트), 기타소금(국내산),천연향신료 너트맥분말(말레이시아)],미트텐더용파우더MT, 콜라겐케이싱, 타피 오카전분(수입산)"
소세지,베스틱 닭가슴살 소시지 매콤치즈맛,https://file.rankingdak.com/_data/item/1490343310_l1.jpg,131.11,0.61,21.39,4.79,1.56,0.04,0.44,43.66,249.69,"닭가슴살(국내산) 85.5%, 모짜렐라골든치즈 3.7% [외국산(뉴질랜드마국,할라피뇨 2.6% (멕시코,절임류), 타피오카전분(베트남산), 후랑크파우더MT, 미트텐터용파우더MT, 콜라겐케이싱"
소세지,베스틱 닭가슴살 소시지 카레맛,https://file.rankingdak.com/_data/item/1490343764_l1.jpg,129.49,2.18,20.81,4.17,1.29,0.03,1.08,39.89,241.79,"닭가슴살(국내산) 80.41%, 카레 4.57%[밀가루(미국산/호주산), 카레분{강황(인도산)코리안더(모르코산)}],양파(국내산), 당근(국내산), 타피오카전분, 정제소금,호스이엔알(산도조절제),후랑크 파우더MT, 콜라겐케이싱"
소세지,리얼원 무항생제 닭가슴살 소시지 오리지널,https://file.rankingdak.com/_data/item/1526460790_l1.jpg,108.33,1.67,20.83,2.17,0.58,0,1.67,58.33,375,"닭고기(무항생제 닭가슴살/국내산) 94.25 %, 대두유(외국산), 설탕, 밀크부어스트콤비(오스트리아), 천일염(국내산), 대두 단백, 혼합분유H, 혼합제제(폴리인산나트륨, 피로인산나트 륨, 메타인산나트륨, 메타인산칼륨), 산도조절제, 혼합제제(셀룰로오스검, 메틸셀룰로스), 아스코브산나트륨"
소세지,리얼원 무항생제 닭가슴살 소시지 청양고추,https://file.rankingdak.com/_data/item/1526461224_l1.jpg,112.5,2.5,20.83,2.33,0.58,0,1.67,50,350,"닭고기(무항생제 닭가슴살/국내산) 91.6 % 청양고추(국내산) 1.7 %, 대두유(외국산), 설탕, 청양초시즈닝분말[청양고추(국내산)80 %] 0.92%, 천일염(국내산), 밀크부어스트콤비, 대두 단백, 혼합분유H, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨, 메타인산칼륨), 레몬향분말, 산도조절제, 혼합제제(셀룰로오스검,메틸셀룰로스), 아스코브산나트륨"
소세지,리얼원 무항생제 닭가슴살 소시지 마늘,https://file.rankingdak.com/_data/item/1526461248_l1.jpg,108.33,1.67,20.83,2.5,0.58,0,1.67,54.17,358.33,"닭고기(무항생제 닭가슴살/국내산) 92.08%, 남해마늘(국내산) 2.1%, 대두유(외국산), 설탕, 천일염(국내산), 밀크부어스트콤비, 대두단백, 혼합분유H, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨, 메타인산칼륨), 분말마늘(국내산) 0.2%, 산도조절제, 혼합제제(셀룰로오스검,메틸셀룰로스), 아스코브산나트륨"
소세지,햇살닭 새우 닭가슴살소시지,https://file.rankingdak.com/_data/item/94e01479af3b66a8a4a38789d56f5243.jpg,133.6,3.34,20.04,3.34,1.34,0,0,0,187.04,"닭가슴살 (국내산) 73.6%, 새우 (베트남산) 6%, 양파(국내산), 함수결정포도당, 당근, 대두단백, 변성전분, 미담다시마장 (건조다시마추출액, 정제염, 저당, 표고버섯추출액, 효모추출물), 유장분말, 탈지대두, 새우조미시즈닝-l, 콜라겐케이싱, 정제염, 폴리인산나트륨, 코트롤티에이치(산도조절제), 흑후추분말, 비타민C"
소세지,햇살닭 무항생제 훈제 닭가슴살소시지,https://file.rankingdak.com/_data/item/0fd0c3d2bee632ba1202bcae18127ac6.jpg,116.9,6.68,20.04,3.34,0.33,0,3.34,46.76,460.92,"닭가슴살 (국내산 무항생제닭고기) 80.6%,양파(국내산), 당근(중국산,베트남산),유장분말,케이엠유-2,함수결정포도당,대두단백,탈지대두, 콜라겐케이싱, 미담다시마장,정제염, 폴리인산나트륨(산도조절제) 코트를티에이치(산도조 절제),비타민C"
소세지,바디닭 오리지날 닭가슴살 소시지,https://file.rankingdak.com/_data/item/34097a731a2c14cd8327327db5df920c.jpg,134,3,20,5,2,0,0,32,231,"닭가슴살 (국산)86.33%, 정제수, 양파(국산)3.02%, 설탕,대두단백(대두, 중국산), 소금,마늘 백후추분말, 인산염(산도조절제), 치킨씨즈닝분말,L-글루타민산나트륨(향미증진제), 비타민C"
